Geneid	GeneSymbol	Class
1916	gene1916.1	pv0Ct	pseudo gene
1917	gene1917.1	bmrQp	pseudo gene
1918	gene1918.1	pXl6J	pseudo gene
1919	gene1919.1	7L5zf	pseudo gene
1920	gene1920.1	6bQpX	pseudo gene
1921	gene1921.1	k2Ypg	pseudo gene
1922	gene1922.1	3oJ7D	pseudo gene
1923	gene1923.1	WIVTR	pseudo gene
1924	gene1924.1	g8jC3	pseudo gene
1925	gene1925.1	sNobs	pseudo gene
1926	gene1926.1	b6MgK	pseudo gene
1927	gene1927.1	1wT18	pseudo gene
1928	gene1928.1	mutni	pseudo gene
1929	gene1929.1	QXWg6	pseudo gene
1930	gene1930.1	aP0K8	pseudo gene
1931	gene1931.1	QlAl4	pseudo gene
1932	gene1932.1	ggv0p	pseudo gene
1933	gene1933.1	Tc1ga	pseudo gene
1934	gene1934.1	vzjNd	pseudo gene
1935	gene1935.1	aBPPW	pseudo gene
1936	gene1936.1	KVPJP	pseudo gene
1937	gene1937.1	IJc9w	pseudo gene
1938	gene1938.1	heE6v	pseudo gene
1939	gene1939.1	aTMTt	pseudo gene
1940	gene1940.1	9tLSD	pseudo gene
1941	gene1941.1	yJVBW	pseudo gene
1942	gene1942.1	2bMT7	pseudo gene
1943	gene1943.1	6wWpS	pseudo gene
1944	gene1944.1	djrrh	pseudo gene
1945	gene1945.1	RYjPV	pseudo gene
1946	gene1946.1	YuI46	pseudo gene
1947	gene1947.1	p1tDl	pseudo gene
1948	gene1948.1	ZyGkK	pseudo gene
1949	gene1949.1	osReK	pseudo gene
1950	gene1950.1	SmBkB	pseudo gene
1951	gene1951.1	Gylw6	pseudo gene
1952	gene1952.1	WzL9M	pseudo gene
1953	gene1953.1	vQGoo	pseudo gene
1954	gene1954.1	p7aun	pseudo gene
1955	gene1955.1	mHmvJ	pseudo gene
1956	gene1956.1	mQ3c2	pseudo gene
1957	gene1957.1	TY9st	pseudo gene
1958	gene1958.1	p8Cs7	pseudo gene
1959	gene1959.1	pERoJ	pseudo gene
1960	gene1960.1	HII0b	pseudo gene
1961	gene1961.1	2ucyU	pseudo gene
1962	gene1962.1	w3inq	pseudo gene
1963	gene1963.1	K7sGU	pseudo gene
1964	gene1964.1	ENDL1	pseudo gene
1965	gene1965.1	4Fq1O	pseudo gene
1966	gene1966.1	oi4C3	pseudo gene
1967	gene1967.1	4OxpL	pseudo gene
1968	gene1968.1	brhPp	pseudo gene
1969	gene1969.1	86lVt	pseudo gene
1970	gene1970.1	Tswqm	pseudo gene
1971	gene1971.1	WVxVo	pseudo gene
1972	gene1972.1	TBgxN	pseudo gene
1973	gene1973.1	67dHu	pseudo gene
1974	gene1974.1	x8rjY	pseudo gene
1975	gene1975.1	8i46b	pseudo gene
1976	gene1976.1	8jtv5	pseudo gene
1977	gene1977.1	7KjCw	pseudo gene
1978	gene1978.1	TkGLi	pseudo gene
1979	gene1979.1	yW5ZG	pseudo gene
1980	gene1980.1	gI8pA	pseudo gene
1981	gene1981.1	Pi0xH	pseudo gene
1982	gene1982.1	dAk8u	pseudo gene
1983	gene1983.1	LUcXw	pseudo gene
1984	gene1984.1	RPaZd	pseudo gene
1985	gene1985.1	ln4jg	pseudo gene
1986	gene1986.1	zs1jn	pseudo gene
1987	gene1987.1	G8aZw	pseudo gene
1988	gene1988.1	x8nNf	pseudo gene
1989	gene1989.1	98TUO	pseudo gene
1990	gene1990.1	Xyxzs	pseudo gene
1991	gene1991.1	YusPx	pseudo gene
1992	gene1992.1	5y7kX	pseudo gene
1993	gene1993.1	5KgyO	pseudo gene
1994	gene1994.1	eMqOx	pseudo gene
1995	gene1995.1	kavPy	pseudo gene
1996	gene1996.1	qvhz3	pseudo gene
1997	gene1997.1	MGJCk	pseudo gene
1998	gene1998.1	euOG2	pseudo gene
1999	gene1999.1	kfR6w	pseudo gene
2000	gene2000.1	XGUbU	pseudo gene
